Date,Confirmed,pop_flows
2020/3/2,0,43842761
2020/3/3,1,43170322
2020/3/4,10,43062230
2020/3/5,21,43948940
2020/3/6,24,45349107
2020/3/7,76,43260697
2020/3/8,105,39681377
2020/3/9,138,43406688
2020/3/10,152,44183778
2020/3/11,216,45238807
2020/3/12,296,44298608
2020/3/13,379,45183833
2020/3/14,557,40870429
2020/3/15,633,35858623
2020/3/16,961,37283054
2020/3/17,1407,34649922
2020/3/18,2507,34875919
2020/3/19,4221,33159821
2020/3/20,7660,31903824
2020/3/21,10410,27773057
2020/3/22,15191,28290924
2020/3/23,20884,27960295
2020/3/24,25681,29666997
2020/3/25,30841,29832626
2020/3/26,37397,29989996
2020/3/27,44701,30673675
2020/3/28,52400,27283437
2020/3/29,59648,26145028
2020/3/30,66663,28390712
2020/3/31,75853,28289376
2020/4/1,90377,28976744
2020/4/2,100780,28716516
2020/4/3,111455,28897838
2020/4/4,121705,29227779
2020/4/5,132700,26611901
2020/4/6,142561,28854752
2020/4/7,149974,29007575
2020/4/8,160185,28671309
2020/4/9,172256,27802631
2020/4/10,183729,29060435
2020/4/11,192262,29364276
2020/4/12,200635,26238299
2020/4/13,208488,26632871
2020/4/14,215959,29526263
2020/4/15,222617,29600021
2020/4/16,230506,29444485
2020/4/17,237492,30456061
2020/4/18,244369,28864128
2020/4/19,251013,28310683
2020/4/20,257399,29483531
2020/4/21,262032,28977962
2020/4/22,266291,29970878
2020/4/23,271788,30225952
2020/4/24,278456,30067447
2020/4/25,287898,31923626
2020/4/26,293575,26453391
2020/4/27,297888,29247468
2020/4/28,300796,31491592
2020/4/29,303932,30330284
2020/4/30,308309,29628586
2020/5/1,312799,32089557
2020/5/2,317174,33156404
2020/5/3,320685,30701902
2020/5/4,323828,31172709
2020/5/5,325934,31965277
2020/5/6,328057,30776317
2020/5/7,331268,32424955
2020/5/8,334167,32348112
2020/5/9,336802,31881281
2020/5/10,339202,31350890
2020/5/11,341026,30135555
2020/5/12,342356,31986054
2020/5/13,343874,32951809
2020/5/14,346213,32422254
2020/5/15,348461,33964954
2020/5/16,350979,34431688
2020/5/17,353002,30998808
2020/5/18,354500,32280269
2020/5/19,355886,32937690
2020/5/20,357052,34050879
2020/5/21,358918,34473026
2020/5/22,360818,35355423
2020/5/23,362889,32295177
2020/5/24,364697,33146307
2020/5/25,366388,31962827
2020/5/26,367349,34202591
2020/5/27,368282,34586328
2020/5/28,369438,33789061
2020/5/29,371101,34723117
2020/5/30,372473,34938166
2020/5/31,373682,32606378
2020/6/1,374818,33999096
2020/6/2,375887,33633687
2020/6/3,376676,33836229
2020/6/4,377888,35535499
2020/6/5,379011,35784071
2020/6/6,380066,36009248
2020/6/7,380923,34206570
2020/6/8,381659,36194043
2020/6/9,382257,36084103
2020/6/10,382718,35927767
2020/6/11,383528,34892533
2020/6/12,384344,38382637
2020/6/13,385104,38052503
2020/6/14,385797,34753768
2020/6/15,386464,36589802
2020/6/16,386973,37505280
2020/6/17,387384,38681996
2020/6/18,388083,38535364
2020/6/19,388907,39916864
2020/6/20,389602,39209388
2020/6/21,390268,36311563
2020/6/22,390910,37484540
2020/6/23,391411,38386728
2020/6/24,391884,38893004
2020/6/25,392698,39633602
2020/6/26,393527,41291861
2020/6/27,394261,37604086
2020/6/28,394872,36342912
2020/6/29,395406,38370034
2020/6/30,395909,38088364
